country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
USA,p2,Annual,Digital,Y,Medium,Y,N,4,5.0,84.291,88.47040664,82.94,2019Q4
Japan,p2,Monthly,Digital,Y,Low,N,N,5,6.0,52.8,77.24719248,80.49,2020Q2
India,p2,Annual,Digital,Y,Medium,N,N,4,6.0,8.66,75.72047878,71.8,2020Q2
India,p2,Monthly,Digital,Y,Medium,N,N,1,3.0,12.99,69.99202447,66.64,2020Q1
India,p1,Annual,Offline,N,Medium,N,Y,2,5.0,5.5,69.32450038,69.51,2020Q2
India,p1,Annual,Digital,N,Low,N,N,1,2.965340359,9.696381122,60.34731401,60.15600995,2018Q4
USA,p1,Monthly,Digital,N,High,N,N,2,5.0,29.34,60.76039875,66.31,2020Q3
India,p1,Annual,Digital,N,Low,N,Y,1,2.995450265,8.49639199,64.4254453,65.82151868,2018Q4
Japan,p2,Annual,Digital,N,High,Y,N,3,5.008227477,14.48482767,83.91472571,81.09477059,2019Q2
Japan,p1,Monthly,Digital,N,High,N,Y,3,5.0,19.59,82.18919197,77.9,2020Q3
USA,p2,Monthly,Digital,N,Low,N,Y,5,2.993227402,49.91661296,70.06817897,70.51577484,2018Q4
Japan,p2,Bi-annual,Digital,Y,Medium,N,N,2,6.014929876,39.36676265,87.76758543,82.42592638,2019Q3
USA,p1,Annual,Digital,Y,Low,Y,Y,5,5.000230435,6.49372848,75.35125568,78.16760267,2019Q3
USA,p2,Monthly,Offline,N,High,N,Y,3,5.0,49.43,78.98367153,77.56,2019Q4
Japan,p2,Monthly,Offline,Y,High,N,N,5,5.0,50.13,90.40176694,89.04,2019Q4
Japan,p1,Bi-annual,Digital,Y,Medium,N,Y,5,5.0,20.99,86.25000054,91.0,2020Q1
India,p1,Monthly,Offline,N,Medium,Y,Y,5,3.997414257,24.74204975,74.60900427,66.48124313,2019Q3
USA,p1,Monthly,Digital,Y,Low,N,Y,5,5.0,65.53,70.52603455,70.96,2019Q4
India,p1,Annual,Offline,N,Low,Y,N,3,3.0,5.6306,69.32905214,71.1578,2020Q1
India,p2,Annual,Offline,N,High,Y,Y,0,5.0,12.491,81.66517256,80.2,2019Q4
India,p1,Annual,Offline,Y,High,N,Y,4,2.0,9.49,74.06219904,72.5,2020Q1
Japan,p2,Annual,Offline,N,Medium,N,N,2,7.0,32.67,85.26169384,85.52,2020Q3
India,p2,Annual,Digital,Y,Medium,N,Y,3,5.0,10.72,76.72607054,71.18,2020Q3
USA,p1,Annual,Digital,N,Medium,N,Y,3,4.0,26.25,69.13134027,70.24,2020Q2
Japan,p1,Bi-annual,Digital,N,High,N,Y,5,7.012937973,27.25195221,82.14305084,84.83654996,2018Q4
India,p1,Monthly,Offline,Y,Low,N,Y,2,5.0,8.5,69.29106767,68.99,2020Q3
Japan,p2,Annual,Digital,N,Medium,N,Y,5,5.0,25.89,92.94089356,92.1,2019Q4
USA,p2,Monthly,Digital,Y,High,Y,Y,4,4.0,97.991,87.2995228,84.45,2020Q3
India,p1,Annual,Digital,Y,Low,Y,N,1,4.0,9.8555,60.86341086,61.4145,2020Q3
India,p1,Annual,Offline,Y,High,N,N,1,5.0,9.44,73.63693829,70.61,2019Q4
USA,p1,Monthly,Digital,Y,High,N,Y,4,7.016559433,63.37434534,83.75446828,81.12124739,2019Q1
Japan,p1,Bi-annual,Offline,Y,Medium,N,N,3,5.00646221,21.33444448,79.59218359,90.54113233,2019Q2
Japan,p2,Annual,Digital,N,Medium,N,N,4,4.0,29.83,85.41879049,86.4,2019Q4
Japan,p2,Bi-annual,Digital,Y,Medium,N,Y,4,8.0,36.53,92.04286212,96.46,2019Q4
USA,p2,Annual,Offline,Y,High,Y,Y,1,5.0,83.6907,85.31988225,85.6,2020Q1
USA,p2,Annual,Offline,Y,Medium,N,N,3,5.0,89.99,77.76107453,78.89,2020Q1
